obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"383.4679"	"7"	"7.5e+05"	D	"11.82807116"	"15.0603901"	3	1		
"394.7505"	"7"	"5.6e+04"	C+	"11.54835442"	"14.68829030"	5	5		
"394.8979"	"35"	"4.6e+05"	B	"11.54835442"	"14.68711824"	5	3		
"404.4418"	"50"	"3.3e+05"	B	"11.62359272"	"14.68829030"	3	5		
"415.8590"	"400"	"1.40e+06"	B	"11.54835442"	"14.52891349"	5	5		
"416.4180"	"50"	"2.9e+05"	B	"11.54835442"	"14.52491330"	5	3		
"418.1884"	"50"	"5.6e+05"	B	"11.72316039"	"14.68711824"	1	3		
"419.0713"	"100"	"2.80e+05"	B	"11.54835442"	"14.50606764"	5	5		
"419.1029"	"50"	"5.4e+05"	C+	"11.72316039"	"14.68065033"	1	3		
"419.8317"	"200"	"2.57e+06"	B	"11.62359272"	"14.57594878"	3	1		
"420.0674"	"400"	"9.7e+05"	B+	"11.54835442"	"14.49905364"	5	7		
"425.1185"	"25"	"1.11e+05"	C+	"11.54835442"	"14.46399577"	5	3		
"425.9362"	"200"	"3.98e+06"	B+	"11.82807116"	"14.73811536"	3	1		
"426.6286"	"100"	"3.1e+05"	C+	"11.62359272"	"14.52891349"	3	5		
"427.2169"	"150"	"8.0e+05"	B	"11.62359272"	"14.52491330"	3	3		
"430.0101"	"100"	"3.77e+05"	B+	"11.62359272"	"14.50606764"	3	5		
"433.3561"	"100"	"5.7e+05"	B+	"11.82807116"	"14.68829030"	3	5		
"433.5338"	"50"	"3.9e+05"	C+	"11.82807116"	"14.68711824"	3	3		
"434.5168"	"25"	"3.0e+05"	B	"11.82807116"	"14.68065033"	3	3		
"451.0733"	"100"	"1.18e+06"	B+	"11.82807116"	"14.57594878"	3	1		
"452.2323"	"20"	"9.0e+04"	B	"11.72316039"	"14.46399577"	1	3		
"459.6097"	"15"	"9.5e+04"	B	"11.82807116"	"14.52491330"	3	3		
"462.8441"	"7"	"3.83e+04"	B+	"11.82807116"	"14.50606764"	3	5		
"470.2316"	"15"	"1.09e+05"	B	"11.82807116"	"14.46399577"	3	3		
"515.1391"	"5"	"2.39e+06"	C	"12.90701530"	"15.3131553"	3	1		
"516.2285"	"15"	"1.90e+06"	C	"12.90701530"	"15.30807770"	3	3		
"518.7746"	"20"	"1.38e+06"	C	"12.90701530"	"15.29629325"	3	5		
"522.1271"	"7"	"8.8e+05"	D	"13.07571571"	"15.4496531"	7	9		
"542.1352"	"5"	"6.0e+05"	D	"13.07571571"	"15.3620414"	7	5		
"545.1652"	"10"	"4.7e+05"	D+	"12.90701530"	"15.18063359"	3	5		
"549.5874"	"25"	"1.69e+06"	C	"13.07571571"	"15.3310400"	7	9		
"550.6113"	"5"	"3.6e+05"	D+	"13.09487256"	"15.34600299"	5	7		
"555.8702"	"25"	"1.42e+06"	C	"12.90701530"	"15.13684847"	3	5		
"557.2541"	"10"	"6.6e+05"	C	"13.09487256"	"15.31916801"	5	7		
"560.6733"	"35"	"2.20e+06"	C	"12.90701530"	"15.11774638"	3	3		
"565.0704"	"20"	"3.20e+06"	C	"12.90701530"	"15.10054371"	3	1		
"573.9520"	"10"	"8.7e+05"	D	"13.15314387"	"15.31272913"	3	5		
"583.4263"	"5"	"5.2e+05"	C	"13.17177770"	"15.29629325"	5	5		
"586.0310"	"10"	"2.85e+05"	C	"12.90701530"	"15.02208834"	3	3		
"588.2624"	"15"	"1.23e+06"	C	"12.90701530"	"15.0140655"	3	1		
"588.8584"	"25"	"1.29e+06"	C	"13.07571571"	"15.18063359"	7	5		
"591.2085"	"50"	"1.05e+06"	C	"12.90701530"	"15.00356588"	3	3		
"592.8813"	"15"	"1.1e+06"	D+	"13.09487256"	"15.18550800"	5	3		
"594.2669"	"5"	"1.8e+05"	D	"13.09487256"	"15.18063359"	5	5		
"598.7302"	"7"	"1.2e+05"	D	"13.07571571"	"15.14592830"	7	7		
"599.8999"	"5"	"1.4e+05"	D	"13.09487256"	"15.1610486"	5	5		
"602.5150"	"5"	"9.0e+05"	D+	"13.30222747"	"15.3594356"	5	3		
"603.2127"	"70"	"2.46e+06"	C	"13.07571571"	"15.13054437"	7	9		
"604.3223"	"35"	"1.47e+06"	C	"13.09487256"	"15.14592830"	5	7		
"605.2723"	"10"	"1.9e+05"	D+	"12.90701530"	"14.95485204"	3	5		
