obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"381.96074"	"10*"	"1.7876e+05"	AAA	"[20.96408688908]"	"[24.209163835045]"	5	3		
"381.96074"	"10*"	"1.6087e+06"	AAA	"[20.96408688908]"	"[24.209163157329]"	5	5		
"381.96074"	"10*"	"6.4353e+06"	AAA	"[20.96408688908]"	"[24.209163110443]"	5	7		
"381.96074"	"10*"	"2.6814e+06"	AAA	"[20.96409636464]"	"[24.209163835045]"	3	3		
"381.96074"	"10*"	"4.8261e+06"	AAA	"[20.96409636464]"	"[24.209163157329]"	3	5		
"383.3554"	"0"	"9.6470e+05"	AAA	"[21.2180227112]"	"[24.4512941044573]"	3	5		
"387.1791"	"1"	"1.3386e+06"	AAA	"[21.2180227112]"	"[24.419363117280]"	3	5		
"388.8648"	"500*"	"9.4746e+06"	AAA	"[19.819614525]"	"[23.0070758719]"	3	3		
"388.8648"	"500*"	"9.4746e+06"	AAA	"[19.819614525]"	"[23.00707314571]"	3	5		
"393.5912"	"0"	"7.4475e+05"	AAA	"[21.2180227112]"	"[24.3671800778]"	3	1		
"396.47291"	"20"	"6.9507e+06"	AAA	"[20.615774823]"	"[23.74207006880]"	1	3		
"402.3973"	"1"	"1.1281e+06"	AAA	"[21.2180227112]"	"[24.2982859057]"	3	1		
"402.61914"	"50*"	"3.2224e+05"	AAA	"[20.96408688908]"	"[24.042663494166]"	5	3		
"402.61914"	"50*"	"2.8999e+06"	AAA	"[20.96408688908]"	"[24.042662321526]"	5	5		
"402.61914"	"50*"	"1.1601e+07"	AAA	"[20.96408688908]"	"[24.042662242088]"	5	7		
"402.61914"	"50*"	"4.8336e+06"	AAA	"[20.96409636464]"	"[24.042663494166]"	3	3		
"402.61914"	"50*"	"8.6997e+06"	AAA	"[20.96409636464]"	"[24.042662321526]"	3	5		
"412.08154"	"12*"	"2.4738e+06"	AAA	"[20.96408688908]"	"[23.9719714182]"	5	3		
"412.08154"	"12*"	"1.4843e+06"	AAA	"[20.96409636464]"	"[23.9719714182]"	3	3		
"414.3761"	"3"	"4.8812e+06"	AAA	"[21.2180227112]"	"[24.209249793955]"	3	5		
"416.8967"	"1"	"1.8298e+06"	AAA	"[21.2180227112]"	"[24.1911602752]"	3	1		
"438.79296"	"10"	"8.9889e+06"	AAA	"[21.2180227112]"	"[24.042803412125]"	3	5		
"443.7551"	"3"	"3.2689e+06"	AAA	"[21.2180227112]"	"[24.0112149898]"	3	1		
"447.14802"	"200*"	"6.8275e+05"	AAA	"[20.96408688908]"	"[23.73609263507]"	5	3		
"447.14802"	"200*"	"6.1440e+06"	AAA	"[20.96408688908]"	"[23.73609033897]"	5	5		
"447.14802"	"200*"	"2.4579e+07"	AAA	"[20.96408688908]"	"[23.73609019010]"	5	7		
"447.14802"	"200*"	"1.0241e+07"	AAA	"[20.96409636464]"	"[23.73609263507]"	3	3		
"447.14802"	"200*"	"1.8432e+07"	AAA	"[20.96409636464]"	"[23.73609033897]"	3	5		
"471.31457"	"30*"	"5.2894e+06"	AAA	"[20.96408688908]"	"[23.593958713]"	5	3		
"471.31457"	"30*"	"3.1736e+06"	AAA	"[20.96409636464]"	"[23.593958713]"	3	3		
"492.19313"	"20"	"1.9863e+07"	AAA	"[21.2180227112]"	"[23.73633503536]"	3	5		
"501.56783"	"100"	"1.3372e+07"	AAA	"[20.615774823]"	"[23.08701852960]"	1	3		
"504.7738"	"10"	"6.7712e+06"	AAA	"[21.2180227112]"	"[23.673570590]"	3	1		
"587.5621"	"500*"	"1.7673e+07"	AAA	"[20.96408688908]"	"[23.07365101981]"	5	5		
"587.5621"	"500*"	"7.0708e+07"	AAA	"[20.96408688908]"	"[23.07365070854]"	5	7		
"587.5621"	"500*"	"2.9462e+07"	AAA	"[20.96409636464]"	"[23.07365649967]"	3	3		
"587.5621"	"500*"	"5.3019e+07"	AAA	"[20.96409636464]"	"[23.07365101981]"	3	5		
"667.8151"	"100"	"6.3705e+07"	AAA	"[21.2180227112]"	"[23.07407479777]"	3	5		
"706.5190"	"200*"	"1.5474e+07"	AAA	"[20.96408688908]"	"[22.718466419]"	5	3		
"706.5190"	"200*"	"9.2844e+06"	AAA	"[20.96409636464]"	"[22.718466419]"	3	3		
"706.571"	"30"	"3.0948e+06"	AAA	"[20.96421885051]"	"[22.718466419]"	1	3		
"728.1349"	"50"	"1.8299e+07"	AAA	"[21.2180227112]"	"[22.920317359]"	3	1		
