obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"383.5397"	"30000"	"1.2156e+05"	AAA	"10.1988358"	"13.43055424"	8	162		
"388.9024865"	""	""		"10.19881052514816"	"13.385961022639"	2	6	E2	
"388.9025154"	""	""		"10.19881052514816"	"13.38596078636"	2	4	E2	
"388.9025933"	""	""		"10.19881052514816"	"13.38596014765"	2	2	M1	
"388.9064"	"70000"	"2.2148e+05"	AAA	"10.1988358"	"13.38596103"	8	128		
"397.0075"	"30000"	"4.3889e+05"	AAA	"10.1988358"	"13.32091817"	8	98		
"410.1707462"	""	""		"10.19881052514816"	"13.22070369934"	2	6	E2	
"410.1710277"	""	""		"10.19881052514816"	"13.22070162532"	2	2	M1	
"410.1734"	"70000"	"9.7320e+05"	AAA	"10.1988358"	"13.22070389"	8	72		
"434.0472"	"90000"	"2.5304e+06"	AAA	"10.1988358"	"13.0545017"	8	50		
"486.1283363"	""	""		"10.19881052514816"	"12.74853999753"	2	6	E2	
"486.1286949"	""	"9.6680e+06"	AAA	"10.19881052514816"	"12.74853811674"	2	4		
"486.1296711"	""	""		"10.19881052514816"	"12.74853299663"	2	2	M1	
"486.1297761"	""	"9.6682e+06"	AAA	"10.19881052514816"	"12.74853244632"	2	2		
"486.135"	"180000"	"8.4193e+06"	AAA	"10.1988358"	"12.7485393"	8	32		
"656.270970"	""	"5.3877e+07"	AAA	"10.19880615024"	"12.0875070783"	2	4		
"656.272483"	""	"2.2448e+07"	AAA	"10.19881052514816"	"12.0875071004"	2	4		
"656.277153"	""	"2.2449e+07"	AAA	"10.19881052514816"	"12.0874936591"	2	2		
"656.279"	"500000"	"4.4101e+07"	AAA	"10.1988358"	"12.0875052"	8	18		
"656.285175"	""	"6.4651e+07"	AAA	"10.19885151459"	"12.0875115582"	4	6		
