obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"380.05431"	"30"	""		"10.03240062"	"13.2937510"	3	3		
"381.22150"	"20"	""		"10.03240062"	"13.2837662"	3	5		
"383.77028"	"30*"	""		"9.91523229"	"13.1450040"	5	5		
"383.78152"	"30*"	""		"9.91523229"	"13.1449092"	5	7		
"384.59778"	"15"	""		"9.91523229"	"13.1380553"	5	5		
"384.612"	"2"	""		"9.91523229"	"13.1379169"	5	3		
"391.516"	"1"	""		"10.64363486"	"13.8095038"	3	5		
"392.605"	"1"	""		"10.56241430"	"13.719527"	1	3		
"394.525"	"0"	""		"10.64363486"	"13.785374"	3	3		
"398.21699"	"6"	""		"10.03240062"	"13.1450040"	3	5		
"399.10797"	"20"	""		"10.03240062"	"13.1380553"	3	5		
"399.12581"	"10"	""		"10.03240062"	"13.1379169"	3	3		
"399.482"	"3"	""		"10.64363486"	"13.746429"	3	3		
"400.072"	"2"	""		"10.56241430"	"13.660589"	1	3		
"402.803"	"1"	""		"10.64363486"	"13.720804"	3	5		
"402.966"	"2*"	""		"10.64363486"	"13.719527"	3	3		
"402.966"	"2*"	""		"10.64363486"	"13.719597"	3	5		
"405.657"	"3"	""		"10.56241430"	"13.617947"	1	3		
"408.690"	"2"	""		"10.64363486"	"13.676466"	3	1		
"409.784"	"1"	""		"10.64363486"	"13.668369"	3	5		
"410.843"	"3"	""		"10.64363486"	"13.660589"	3	3		
"416.448"	"2"	""		"10.64363486"	"13.620006"	3	5		
"416.728"	"5d*"	""		"10.64363486"	"13.617947"	3	3		
"416.728"	"5d*"	""		"10.64363486"	"13.618024"	3	5		
"417.283"	"3"	""		"10.56241430"	"13.5328373"	1	3		
"418.44726"	"20"	""		"10.56241430"	"13.5245398"	1	3		
"426.32856"	"20"	""		"10.64363486"	"13.55100072"	3	1		
"427.396943"	"1000"	"1.99e+06"	C+	"9.91523229"	"12.81533065"	5	5		
"428.296734"	"100"	"1.77e+05"	C+	"9.91523229"	"12.80923809"	5	3		
"428.648687"	"40"	"1.00e+06"	C	"10.56241430"	"13.45404392"	1	3		
"428.802"	"5"	""		"10.64363486"	"13.5342338"	3	5		
"429.264"	"6"	""		"10.56241430"	"13.4498990"	1	3		
"430.048652"	"50"	"5.33e+05"	C	"10.56241430"	"13.44463078"	1	3		
"430.24455"	"10"	""		"10.64363486"	"13.5245398"	3	3		
"431.85524"	"400"	"5.13e+05"	C	"9.91523229"	"12.78539212"	5	5		
"431.95795"	"1000"	"1.25e+06"	C	"9.91523229"	"12.78470926"	5	7		
"435.135969"	"100"	"2.22e+06"	C+	"10.64363486"	"13.49215500"	3	1		
"436.264157"	"500"	"4.28e+05"	B	"9.91523229"	"12.75638623"	5	3		
"437.612159"	"800"	"3.74e+06"	C+	"10.03240062"	"12.86480297"	3	1		
"439.996634"	"200"	"1.26e+06"	C+	"10.64363486"	"13.46068780"	3	5		
"441.03681"	"50"	"2.80e+05"	C+	"10.64363486"	"13.45404392"	3	3		
"441.239"	"6"	""		"10.64363486"	"13.4527655"	3	5		
"441.68838"	"20"	""		"10.64363486"	"13.4498990"	3	3		
"441.87613"	"50"	""		"10.64363486"	"13.44870582"	3	5		
"442.519007"	"100"	"6.05e+05"	C+	"10.64363486"	"13.44463078"	3	3		
"445.391749"	"600"	"3.97e+05"	B	"10.03240062"	"12.81533065"	3	5		
"446.369000"	"800"	"1.181e+06"	B	"10.03240062"	"12.80923809"	3	3		
"450.235427"	"600"	"7.8e+05"	C	"10.03240062"	"12.78539212"	3	5		
"453.806"	"3"	""		"10.56241430"	"13.2937510"	1	3		
"455.02985"	"40"	"7.3e+03"	D	"10.03240062"	"12.75638623"	3	3		
"458.297"	"4"	""		"10.56241430"	"13.2669752"	1	3		
"463.614"	"20"	""		"10.64363486"	"13.3171897"	3	1		
"467.161"	"10"	""		"10.64363486"	"13.2968946"	3	5		
"467.716"	"1"	""		"10.64363486"	"13.2937510"	3	3		
"469.484"	"4"	""		"10.64363486"	"13.2837662"	3	5		
"472.489"	"20"	""		"10.64363486"	"13.2669752"	3	3		
"481.26367"	"40"	""		"10.56241430"	"13.1379169"	1	3		
"486.184"	"2h"	""		"11.30345525"	"13.852896"	3	5		
"486.491"	"2h"	""		"11.30345525"	"13.851287"	3	3		
"486.724"	"1h"	""		"11.30345525"	"13.850067"	3	1		
"491.039"	"2"	""		"11.30345525"	"13.827689"	3	5		
"493.038"	"4h"	""		"11.30345525"	"13.817467"	3	5		
"493.448"	"4h"	""		"11.30345525"	"13.815382"	3	3		
"493.838"	"2h"	""		"11.30345525"	"13.813382"	3	1		
"495.527"	"15"	""		"10.64363486"	"13.1450040"	3	5		
"496.908"	"20"	""		"10.64363486"	"13.1380553"	3	5		
"496.936"	"15"	""		"10.64363486"	"13.1379169"	3	3		
"500.214"	"2"	""		"11.30345525"	"13.781389"	3	5		
"502.915"	"5"	""		"11.30345525"	"13.768082"	3	5		
"504.034"	"7"	""		"11.30345525"	"13.7626160"	3	3		
"504.774"	"1*"	""		"11.44304735"	"13.898598"	7	9		
"504.774"	"1*"	""		"11.44465635"	"13.90022"	5	5		
"505.808"	"4"	""		"11.30345525"	"13.7539835"	3	1		
"508.912"	"2h"	""		"11.44304735"	"13.878631"	7	9		
"509.036"	"1h"	""		"11.44465635"	"13.879648"	5	7		
"510.981"	"2"	""		"11.30345525"	"13.729176"	3	3		
"513.99"	"1"	""		"11.30345525"	"13.7150173"	3	3		
"514.27"	"4"	""		"11.30345525"	"13.7136887"	3	5		
"514.504"	"2h"	""		"11.44304735"	"13.8521610"	7	9		
"514.539"	"1h"	""		"11.44465635"	"13.853605"	5	7		
"516.773"	"1"	""		"11.30345525"	"13.7020015"	3	3		
