obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"380.16583"	"50"	""		"6.7036623"	"9.9640556"	3	1		
"381.58"	"1"	""		"6.7036623"	"9.951960"	3	3		
"382.040"	"50"	""		"8.794472"	"12.03889"	7	7		
"386.085"	"30"	""		"8.8285795"	"12.03889"	5	7		
"389.386"	"1"	""		"6.7036623"	"9.88705"	3	7	E2	
"390.1868"	"30"	""		"6.7036623"	"9.880321"	3	5		
"390.3638"	"0.5"	""		"6.7036623"	"9.878884"	3	3		
"390.6371"	"40"	""		"6.7036623"	"9.876651"	3	5		
"398.392"	"2"	""		"8.540829"	"11.65203"	5	3		
"402.595"	"4"	""		"7.9260767"	"11.00479"	1	3		
"404.6565"	"12000"	"2.07e+07"	B	"4.6673829"	"7.7304551"	1	3		
"407.7837"	"1000"	"4.0e+06"	B	"4.8864946"	"7.9260767"	3	1		
"410.8054"	"70"	"2.2e+06"	D	"6.7036623"	"9.720887"	3	1		
"414.00"	"0"	""		"6.7036623"	"9.697563"	3	3		
"431.405"	"1"	""		"6.7036623"	"9.576727"	3	7	E2	
"433.92232"	"50"	"2.9e+06"	C+	"6.7036623"	"9.5601496"	3	5		
"434.3634"	"1.3"	""		"6.7036623"	"9.5572500"	3	3		
"434.74945"	"150"	"8.4e+06"	B	"6.7036623"	"9.5547145"	3	5		
"435.8335"	"12000"	"5.6e+07"	B	"4.8864946"	"7.7304551"	3	3		
"467.0831"	""	""		"7.7304551"	"10.384148"	3	3		
"467.1717"	""	""		"7.7304551"	"10.383644"	3	5		
"467.2918"	"*"	""		"7.7304551"	"10.382961"	3	3		
"467.2918"	"*"	""		"7.7304551"	"10.382961"	3	1		
"468.3819"	""	""		"7.7304551"	"10.376788"	3	3		
"468.4926"	""	""		"7.7304551"	"10.376164"	3	5		
"468.6386"	"*"	""		"7.7304551"	"10.375340"	3	3		
"468.6386"	"*"	""		"7.7304551"	"10.375340"	3	1		
"469.9797"	""	""		"7.7304551"	"10.367793"	3	3		
"470.1171"	""	""		"7.7304551"	"10.367022"	3	5		
"470.3011"	""	""		"7.7304551"	"10.365990"	3	3		
"470.3051"	""	""		"7.7304551"	"10.365968"	3	1		
"471.9742"	""	""		"7.7304551"	"10.356647"	3	3		
"472.1512"	""	""		"7.7304551"	"10.355664"	3	5		
"472.3814"	""	""		"7.7304551"	"10.354384"	3	3		
"472.3919"	""	""		"7.7304551"	"10.354327"	3	1		
"474.5148"	""	""		"7.7304551"	"10.342588"	3	3		
"474.7458"	""	""		"7.7304551"	"10.341316"	3	5		
"475.0393"	""	""		"7.7304551"	"10.339703"	3	3		
"475.0560"	""	""		"7.7304551"	"10.339611"	3	1		
"477.8118"	""	""		"7.7304551"	"10.324563"	3	3		
"478.1274"	""	""		"7.7304551"	"10.322851"	3	5		
"478.5153"	""	""		"7.7304551"	"10.320748"	3	3		
"478.5354"	""	""		"7.7304551"	"10.320641"	3	1		
"482.2204"	""	""		"7.7304551"	"10.300846"	3	3		
"482.6594"	""	""		"7.7304551"	"10.298509"	3	5		
"483.1878"	""	""		"7.7304551"	"10.295701"	3	3		
"483.2238"	""	""		"7.7304551"	"10.295510"	3	1		
"488.2999"	"6"	""		"7.7304551"	"10.2688444"	3	3		
"488.9489"	""	""		"7.7304551"	"10.265476"	3	5		
"489.6914"	""	""		"7.7304551"	"10.261635"	3	3		
"489.7482"	""	""		"7.7304551"	"10.261339"	3	1		
"491.6068"	"20"	"5.8e+06"	D+	"6.7036623"	"9.224990"	3	1		
"496.01"	"100"	""		"9.539998"	"12.03889"	9	7		
"497.0370"	"6"	""		"7.7304551"	"10.2242234"	3	3		
"498.0640"	"6"	""		"7.7304551"	"10.2190839"	3	5		
"499.1601"	""	""		"7.7304551"	"10.213617"	3	3		
"499.2593"	""	""		"7.7304551"	"10.213124"	3	1		
"502.56"	"3"	"2.67e+04"	B	"6.7036623"	"9.1700120"	3	3		
"504.58"	"2"	""		"9.582349"	"12.03889"	9	7		
"510.2705"	"30"	""		"7.7304551"	"10.1595526"	3	3		
"512.0637"	"70"	""		"7.7304551"	"10.1510456"	3	5		
"513.7940"	"30"	""		"7.7304551"	"10.1428931"	3	3		
"513.9926"	""	""		"7.7304551"	"10.141961"	3	1		
"521.89"	"2"	""		"7.9260767"	"10.300846"	1	3		
"529.0740"	"30"	""		"7.9260767"	"10.2688444"	1	3		
"531.6776"	"6"	""		"7.7304551"	"10.0617498"	3	3		
"535.4034"	"130"	""		"7.7304551"	"10.045526"	3	5		
"536.55"	"12"	""		"9.754706"	"12.064883"	5	5		
"538.4626"	"50"	""		"7.7304551"	"10.0323737"	3	3		
"538.8810"	""	""		"7.7304551"	"10.0305869"	3	1		
"539.3468"	""	""		"7.9260767"	"10.2242234"	1	3		
"540.48"	"3"	""		"9.771569"	"12.064883"	3	5		
"546.0750"	"6000"	"4.9e+07"	B	"5.4606248"	"7.7304551"	5	3		
