obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"388.2698"	"20f"	""		"16.84805369"	"20.04038646"	3	3	UT	
"388.7134"	"10f"	""		"16.84805369"	"20.03674670"	3	5	UT	
"388.9427"	"50f"	""		"16.84805369"	"20.03486947"	3	7	UT	
"389.9723"	"20f"	""		"16.84805369"	"20.02644523"	3	3	UT	
"394.3540"	"20"	""		"18.38162323"	"21.524712"	3	5		
"398.4065"	"20"	""		"18.38162323"	"21.492758"	3	3		
"398.4253"	"70"	""		"18.38162323"	"21.492600"	3	5		
"399.5298"	"10"	""		"18.38162323"	"21.483999"	3	5		
"399.5721"	"10"	""		"18.38162323"	"21.483683"	3	3		
"399.8594"	"10"	""		"18.38162323"	"21.481435"	3	3		
"399.9263"	"10"	""		"18.38162323"	"21.480912"	3	1		
"401.3752"	"10"	""		"18.38162323"	"21.469735"	3	5		
"401.3995"	"20"	""		"18.38162323"	"21.469565"	3	3		
"402.0015"	"20"	""		"18.38162323"	"21.464903"	3	5		
"403.7262"	"50"	""		"18.38162323"	"21.451753"	3	5		
"403.7615"	"150"	""		"18.38162323"	"21.451496"	3	3		
"403.7696"	"50"	""		"18.38162323"	"21.451422"	3	1		
"404.2327"	"100"	""		"18.38162323"	"21.447901"	3	3		
"404.2642"	"500"	""		"18.38162323"	"21.447663"	3	5		
"404.5662"	"20"	""		"18.38162323"	"21.445362"	3	5		
"406.4036"	"500"	""		"18.38162323"	"21.431537"	3	3		
"406.4829"	"150"	""		"18.38162323"	"21.430933"	3	1		
"406.8835"	"300"	""		"18.38162323"	"21.427932"	3	5		
"406.9243"	"300"	""		"18.38162323"	"21.427636"	3	3		
"406.9389"	"50"	""		"18.38162323"	"21.427516"	3	1		
"407.9359"	"20"	""		"18.38162323"	"21.420080"	3	3		
"408.0148"	"500"	""		"18.38162323"	"21.419488"	3	5		
"411.1882"	"10"	""		"18.38162323"	"21.396056"	3	3		
"411.2100"	"150"	""		"18.38162323"	"21.395879"	3	5		
"411.2694"	"200"	""		"18.38162323"	"21.395449"	3	3		
"411.2865"	"100"	""		"18.38162323"	"21.395318"	3	1		
"412.6941"	"20"	""		"18.38162323"	"21.38502238"	3	3		
"412.8072"	"300"	""		"18.38162323"	"21.3842144"	3	5		
"413.0512"	"200"	""		"18.38162323"	"21.3824346"	3	3		
"413.10613"	"700"	""		"18.38162323"	"21.3820449"	3	5		
"416.48079"	"500"	""		"18.38162323"	"21.3577339"	3	3		
"416.6091"	"300"	""		"18.38162323"	"21.3568107"	3	1		
"417.3966"	"20"	""		"18.38162323"	"21.351213"	3	3		
"417.43667"	"700"	""		"18.38162323"	"21.3509183"	3	5		
"417.52197"	"600"	""		"18.38162323"	"21.3503118"	3	3		
"417.5488"	"400"	""		"18.38162323"	"21.350120"	3	1		
"419.6415"	"150"	""		"18.38162323"	"21.3353143"	3	3		
"419.81018"	"700"	""		"18.38162323"	"21.3341332"	3	5		
"420.3270"	"20*"	""		"18.57583601"	"21.524712"	5	5		
"420.3270"	"20*"	""		"18.57583601"	"21.524712"	5	5		
"420.3270"	"20*"	""		"18.57583601"	"21.524716"	5	7		
"423.2323"	"10"	""		"18.55510805"	"21.483743"	7	9		
"424.9538"	"20"	""		"18.57583601"	"21.492601"	5	7		
"425.2418"	"20"	""		"18.55510805"	"21.469903"	7	7		
"425.2775"	"20"	""		"18.55510805"	"21.469659"	7	9		
"425.6498"	"20*"	""		"18.61270528"	"21.524712"	3	5		
"425.6498"	"20*"	""		"18.61270528"	"21.524712"	3	5		
"425.9739"	"10"	""		"18.55510805"	"21.464903"	7	5		
"426.2479"	"20"	""		"18.57583601"	"21.483753"	5	7		
"426.7286"	"10"	""		"18.38162323"	"21.2862629"	3	5		
"426.7724"	"50"	""		"18.38162323"	"21.2859685"	3	3		
"426.80086"	"700"	""		"18.38162323"	"21.2857743"	3	5		
"426.97223"	"700"	""		"18.38162323"	"21.2846064"	3	3		
"427.02252"	"500"	""		"18.38162323"	"21.2842647"	3	1		
"427.46617"	"500"	""		"18.38162323"	"21.2812531"	3	3		
"427.5167"	"10"	""		"18.38162323"	"21.28091538"	3	5		
"427.55590"	"700"	""		"18.38162323"	"21.28064461"	3	5		
"427.8850"	"50"	""		"18.55510805"	"21.451906"	7	7		
"427.9279"	"150"	""		"18.55510805"	"21.451608"	7	9		
"428.3242"	"100"	""		"18.57583601"	"21.469657"	5	7		
"428.8541"	"50"	""		"18.55510805"	"21.445362"	7	5		
"428.9799"	"20"	""		"18.57583601"	"21.465242"	5	3		
"429.1976"	"20*"	""		"18.63679156"	"21.524712"	5	5		
"429.1976"	"20*"	""		"18.63679156"	"21.524712"	5	5		
"429.1976"	"20*"	""		"18.63679156"	"21.524716"	5	7		
"430.3248"	"300"	""		"18.38162323"	"21.2619865"	3	3		
"430.3695"	"10"	""		"18.61270528"	"21.492758"	3	3		
"430.3955"	"50"	""		"18.61270528"	"21.492594"	3	5		
"430.62508"	"700"	""		"18.38162323"	"21.2599810"	3	5		
"431.0130"	"20"	""		"18.57583601"	"21.451603"	5	7		
"431.4110"	"10"	""		"18.55510805"	"21.428220"	7	7		
"431.4695"	"300"	""		"18.55510805"	"21.427833"	7	9		
"431.6008"	"150"	""		"18.57583601"	"21.4476896"	5	7		
"431.8834"	"50"	""		"18.57583601"	"21.4458306"	5	3		
"431.9511"	"10"	""		"18.57583601"	"21.445362"	5	5		
"432.1492"	"20"	""		"18.61270528"	"21.480912"	3	1		
"432.7265"	"100"	""		"18.55510805"	"21.419488"	7	5		
"433.41267"	"700"	""		"18.38162323"	"21.24147014"	3	3		
"433.62268"	"500"	""		"18.38162323"	"21.24008531"	3	1		
"433.8200"	"20"	""		"18.61270528"	"21.469866"	3	5		
"434.0256"	"20"	""		"18.63679156"	"21.492601"	5	7		
"434.0420"	"20"	""		"18.57583601"	"21.431537"	5	3		
"434.5479"	"20*"	""		"18.57583601"	"21.428214"	5	5		
"434.5479"	"20*"	""		"18.57583601"	"21.428220"	5	7		
"434.5762"	"10"	""		"18.61270528"	"21.464903"	3	5		
"434.6036"	"150"	""		"18.57583601"	"21.427860"	5	7		
"435.7298"	"20"	""		"18.63679156"	"21.481435"	5	3		
"435.7918"	"50"	""		"18.57583601"	"21.420080"	5	3		
"435.8816"	"20"	""		"18.57583601"	"21.419488"	5	5		
"436.2690"	"300"	""		"18.55510805"	"21.396228"	7	7		
"436.3228"	"20"	""		"18.55510805"	"21.395879"	7	5		
"436.3524"	"700"	""		"18.55510805"	"21.3956874"	7	9		
"436.5705"	"10"	""		"18.61270528"	"21.451865"	3	5		
"437.1796"	"20"	""		"18.61270528"	"21.447901"	3	3		
"437.2157"	"300"	""		"18.61270528"	"21.4476798"	3	5		
"437.4997"	"20*"	""		"18.63679156"	"21.469903"	5	7		
"437.4997"	"20*"	""		"18.61270528"	"21.4458306"	3	3		
"437.7754"	"20"	""		"18.69335943"	"21.524712"	3	5		
"437.7754"	"20*"	""		"18.69335943"	"21.524712"	3	5		
"438.1220"	"300"	""		"18.55510805"	"21.3842144"	7	5		
"439.4370"	"150*"	""		"18.70407118"	"21.524712"	5	5		
"439.4370"	"150*"	""		"18.70407118"	"21.524712"	5	5		
"439.4370"	"150*"	""		"18.70407118"	"21.524716"	5	7		
"439.4773"	"150"	""		"18.57583601"	"21.396216"	5	5		
"439.5008"	"10"	""		"18.57583601"	"21.396056"	5	3		
"439.5306"	"10"	""		"18.57583601"	"21.395879"	5	5		
"439.5556"	"500"	""		"18.57583601"	"21.3957154"	5	7		
"439.5969"	"10"	""		"18.57583601"	"21.395449"	5	3		
"439.7175"	"10"	""		"18.61270528"	"21.431537"	3	3		
"439.8136"	"50"	""		"18.61270528"	"21.430933"	3	1		
"440.2374"	"20"	""		"18.61270528"	"21.428214"	3	5		
"440.2580"	"10"	""		"18.61270528"	"21.428102"	3	3		
"440.2985"	"10"	""		"18.63679156"	"21.451906"	5	7		
"440.5582"	"20"	""		"18.71137667"	"21.524846"	1	3		
"440.9620"	"200"	""		"18.63679156"	"21.4476896"	5	7		
"441.2285"	"200"	""		"18.57583601"	"21.38502238"	5	3		
"441.3561"	"150"	""		"18.57583601"	"21.3842144"	5	5		
"441.5141"	"50"	""		"18.61270528"	"21.420080"	3	3		
"441.6817"	"500"	""		"18.57583601"	"21.3821429"	5	7		
"442.0558"	"10"	""		"18.38162323"	"21.18553364"	3	5		
"442.15553"	"500"	""		"18.38162323"	"21.18492247"	3	3		
"442.25205"	"3000"	""		"18.38162323"	"21.18431077"	3	5		
"442.48065"	"3000"	""		"18.38162323"	"21.18286278"	3	3		
"442.5400"	"1500"	""		"18.38162323"	"21.1824863"	3	1		
"442.7755"	"300"	""		"18.69335943"	"21.492758"	3	3		
"442.7981"	"150"	""		"18.69335943"	"21.492594"	3	5		
"442.9410"	"10"	""		"18.72638145"	"21.524712"	3	5		
"443.25166"	"200"	""		"18.55510805"	"21.3514758"	7	7		
"443.3398"	"100"	""		"18.55510805"	"21.3509183"	7	5		
"443.37239"	"700"	""		"18.55510805"	"21.35071290"	7	9		
"443.5094"	"50"	""		"18.63679156"	"21.431537"	5	3		
"444.0363"	"150*"	""		"18.63679156"	"21.428214"	5	5		
"444.0363"	"150*"	""		"18.63679156"	"21.428220"	5	7		
"444.0812"	"20"	""		"18.63679156"	"21.427932"	5	5		
"444.0890"	"10"	""		"18.63679156"	"21.427860"	5	7		
"444.4978"	"300"	""		"18.70407118"	"21.492601"	5	7		
"444.5671"	"10"	""		"18.69335943"	"21.481435"	3	3		
"444.6538"	"10"	""		"18.69335943"	"21.480912"	3	1		
"445.2983"	"150"	""		"18.61270528"	"21.396216"	3	5		
"445.3253"	"50"	""		"18.61270528"	"21.396056"	3	3		
"445.3324"	"20"	""		"18.63679156"	"21.420080"	5	3		
"445.3528"	"10"	""		"18.61270528"	"21.395879"	3	5		
"445.4285"	"50"	""		"18.63679156"	"21.419488"	5	5		
"445.5564"	"150"	""		"18.57583601"	"21.3577339"	5	3		
"445.6380"	"10"	""		"18.71137667"	"21.492758"	1	3		
"446.0175"	"1000"	""		"18.55510805"	"21.3341332"	7	5		
"446.2856"	"20"	""		"18.70407118"	"21.481435"	5	3		
"446.56544"	"500"	""		"18.57583601"	"21.3514561"	5	5		
"446.6045"	"50"	""		"18.57583601"	"21.351213"	5	3		
"446.6503"	"20"	""		"18.57583601"	"21.3509183"	5	5		
"446.68120"	"700"	""		"18.57583601"	"21.35073261"	5	7		
"446.7491"	"10"	""		"18.57583601"	"21.3503118"	5	3		
"447.0971"	"50*"	""		"18.71137667"	"21.483683"	1	3		
"447.0971"	"50*"	""		"18.61270528"	"21.38502238"	3	3		
"447.2246"	"10*"	""		"18.61270528"	"21.3842144"	3	5		
"447.2246"	"10*"	""		"18.69335943"	"21.464903"	3	5		
"447.5131"	"50"	""		"18.61270528"	"21.3824346"	3	3		
"447.5656"	"1000"	""		"18.61270528"	"21.3821198"	3	5		
"448.0823"	"150"	""		"18.72638145"	"21.492600"	3	5		
"448.3190"	"1500"	""		"18.38162323"	"21.14637893"	3	3		
"448.80926"	"3000"	""		"18.38162323"	"21.14336221"	3	5		
"449.17716"	"800"	""		"18.57583601"	"21.3353143"	5	3		
"449.1838"	"500"	""		"18.63679156"	"21.396228"	5	7		
"449.2132"	"50"	""		"18.63679156"	"21.396056"	5	3		
"449.2412"	"300"	""		"18.63679156"	"21.395879"	5	5		
"449.2689"	"150"	""		"18.63679156"	"21.3957154"	5	7		
"449.3108"	"50"	""		"18.63679156"	"21.395449"	5	3		
"449.3699"	"500"	""		"18.57583601"	"21.3341332"	5	5		
"449.9000"	"20"	""		"18.72638145"	"21.481435"	3	3		
"449.9843"	"50*"	""		"18.72638145"	"21.480912"	3	1		
"449.9843"	"50*"	""		"18.69335943"	"21.447901"	3	3		
"450.0182"	"500"	""		"18.69335943"	"21.4476798"	3	5		
"451.0170"	"150"	""		"18.63679156"	"21.38502238"	5	3		
"451.1509"	"200*"	""		"18.70407118"	"21.451496"	5	3		
"451.1509"	"200*"	""		"18.63679156"	"21.3842144"	5	5		
"451.4891"	"700"	""		"18.63679156"	"21.3821429"	5	7		
"451.5022"	"20"	""		"18.63679156"	"21.3820449"	5	5		
"451.5411"	"300"	""		"18.61270528"	"21.3577339"	3	3		
"451.6936"	"500"	""		"18.61270528"	"21.3568107"	3	1		
"451.7736"	"1000"	""		"18.70407118"	"21.4476896"	5	7		
"452.5764"	"700"	""		"18.61270528"	"21.3514561"	3	5		
"452.6177"	"500"	""		"18.61270528"	"21.351213"	3	3		
"452.6685"	"150*"	""		"18.69335943"	"21.431537"	3	3		
"452.6685"	"150*"	""		"18.61270528"	"21.3509183"	3	5		
"452.7725"	"150"	""		"18.69335943"	"21.430933"	3	1		
"452.7973"	"10"	""		"18.61270528"	"21.350120"	3	1		
"452.9476"	"300"	""		"18.71137667"	"21.447901"	1	3		
"453.2395"	"10"	""		"18.69335943"	"21.428102"	3	3		
"453.63003"	"1500"	"4.29e+05"	C	"18.38162323"	"21.11401428"	3	3		
"453.76768"	"3000"	"4.77e+05"	C+	"18.38162323"	"21.11318538"	3	5		
"453.77545"	"10000"	"8.16e+05"	C+	"18.38162323"	"21.11313791"	3	5		
