obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"383.36"	""	""		"33.0956"	"36.3286"	6	4		
"384.80"	"5"	"2.8e+07"	D	"33.0956"	"36.3167"	6	6		
"385.23"	""	""		"33.1752"	"36.3928"	2	4		
"386.55"	"130"	"5.8e+07"	D	"33.0525"	"36.2591"	8	8		
"387.29"	"19"	"1.2e+07"	D	"33.0525"	"36.2529"	8	6		
"388.18"	"420"	"1.63e+08"	D	"33.0525"	"36.2456"	8	10		
"388.57"	"36"	"6.2e+07"	D	"33.1388"	"36.3286"	4	4		
"390.04"	"15"	"7.7e+07"	D	"33.1388"	"36.3167"	4	6		
"391.18"	""	""		"33.1752"	"36.3439"	2	2		
"391.79"	"160"	"6.6e+07"	D	"33.0956"	"36.2591"	6	8		
"392.56"	"85"	"4.5e+07"	D	"33.0956"	"36.2529"	6	6		
"393.06"	"15"	"2.5e+07"	D	"33.1752"	"36.3286"	2	4		
"394.26"	"32"	"2.1e+07"	D	"33.0956"	"36.2392"	6	4		
"398.03"	"14"	"5.e+06"	D	"33.1388"	"36.2529"	4	6		
"399.77"	"14"	"8.e+06"	D	"33.1388"	"36.2392"	4	4		
"400.88"	"27"	"1.5e+07"	D	"33.1388"	"36.2306"	4	2		
"405.66"	""	""		"33.1752"	"36.2306"	2	2		
"412.790"	""	""		"2.102297177"	"[5.10501280]"	2	4		
"413.082"	""	"8.62e+03"	B	"2.104429202"	"[5.10501280]"	4	4		
"413.082"	""	"5.17e+04"	B	"2.104429202"	"[5.10501280]"	4	6		
"413.291"	""	""		"2.102297177"	"[5.10132984]"	2	4		
"413.481"	""	""		"2.102297177"	"[5.09996887]"	2	2		
"413.584"	""	"1.01e+04"	B	"2.104429202"	"[5.10132984]"	4	4		
"413.584"	""	"6.06e+04"	B	"2.104429202"	"[5.10132972]"	4	6		
"413.774"	""	"3.40e+04"	B	"2.104429202"	"[5.09996887]"	4	2		
"413.890"	""	""		"2.102297177"	"[5.09701544]"	2	4		
"414.108"	""	""		"2.102297177"	"[5.09541220]"	2	2		
"414.184"	""	"1.12e+04"	B	"2.104429202"	"[5.09701544]"	4	4		
"414.184"	""	"6.72e+04"	B	"2.104429202"	"[5.09701544]"	4	6		
"414.403"	""	"4.01e+04"	B	"2.104429202"	"[5.09541220]"	4	2		
"414.598"	""	""		"2.102297177"	"[5.09191696]"	2	4		
"414.62"	""	""		"33.3390"	"36.3286"	4	4		
"414.861"	""	""		"2.102297177"	"[5.09001021]"	2	2		
"414.893"	""	"1.42e+04"	B	"2.104429202"	"[5.09191696]"	4	4		
"414.893"	""	"8.52e+04"	B	"2.104429202"	"[5.09191684]"	4	6		
"415.175"	""	"4.78e+04"	B	"2.104429202"	"[5.09001021]"	4	2		
"415.444"	""	""		"2.102297177"	"[5.08583194]"	2	4		
"415.70"	""	""		"33.3625"	"36.3439"	2	2		
"415.740"	""	"1.71e+04"	B	"2.104429202"	"[5.08583194]"	4	4		
"415.740"	""	"1.03e+05"	B	"2.104429202"	"[5.08583182]"	4	6		
"415.760"	""	""		"2.102297177"	"[5.08353997]"	2	2		
