obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"380.139"	"30"	""		"8.3153161"	"11.5759390"	5	5		
"380.190"	"3"	""		"8.3153161"	"11.5754959"	5	3		
"380.984"	"30"	""		"8.4365241"	"11.689912"	3	1		
"382.374"	"10"	""		"8.4365241"	"11.678101"	3	5		
"382.686"	"15"	""		"8.4365241"	"11.675451"	3	3		
"383.56"	"2"	""		"8.4365241"	"11.668172"	3	5		
"387.720"	"2*"	""		"9.9587513"	"13.15569"	5	7		
"387.720"	"2*"	""		"9.9587513"	"13.15569"	5	5		
"394.229"	"2"	""		"8.4365241"	"11.5806159"	3	5		
"394.8163"	"60"	""		"8.4365241"	"11.5759390"	3	5		
"394.872"	"10"	""		"8.4365241"	"11.5754959"	3	3		
"395.0924"	"120"	"5.6e+05"	C+	"8.3153161"	"11.4525348"	5	5		
"395.685"	"6"	""		"8.3153161"	"11.4478412"	5	3		
"396.75411"	"200"	"5.3e+05"	C+	"8.3153161"	"11.4393959"	5	7		
"397.4417"	"40"	"1.4e+05"	D+	"8.3153161"	"11.4339916"	5	5		
"398.5202"	"30"	""		"8.3153161"	"11.4255504"	5	3		
"400.455"	"10*"	""		"9.9587513"	"13.05407"	5	7		
"400.455"	"10*"	""		"9.9587513"	"13.05407"	5	5		
"407.88202"	"100"	""		"8.4365241"	"11.4753742"	3	1		
"410.97089"	"60"	""		"8.4365241"	"11.4525348"	3	5		
"411.61147"	"80"	""		"8.4365241"	"11.4478412"	3	3		
"412.355"	"10"	""		"9.5697254"	"12.57563"	3	5		
"413.5133"	"20"	""		"8.4365241"	"11.4339916"	3	5		
"414.678"	"2"	""		"8.4365241"	"11.4255504"	3	3		
"417.517"	"6"	""		"9.9170767"	"12.88585"	3	5		
"419.301"	"20"	""		"8.3153161"	"11.2714099"	5	5		
"419.3528"	"150"	"2.20e+05"	B	"8.3153161"	"11.2710427"	5	7		
"420.3695"	""	"1.1e+05"	D+	"8.3153161"	"11.2638950"	5	5		
"420.5404"	"10"	""		"8.3153161"	"11.2626969"	5	3		
"423.503"	"15"	""		"9.9587513"	"12.88545"	5	7		
"427.916"	"2*"	""		"10.1574692"	"13.05407"	5	5		
"427.916"	"2*"	""		"10.1574692"	"13.05407"	5	7		
"435.459"	"6"	""		"10.0390549"	"12.88545"	7	9		
"437.2287"	"20"	""		"8.4365241"	"11.2714099"	3	5		
"438.3908"	"100"	""		"8.4365241"	"11.2638950"	3	5		
"438.5768"	"70"	""		"8.4365241"	"11.2626969"	3	3		
